sent_text,argument,label
"Even though Mr. Darcy is deeply offended by Elizabeth 's low rank in society and that of her family 's behaviour , especially Mrs. Bennet and her younger daughters , Darcy still proposes to Elizabeth .",Mr. Darcy,experiencer
"Even though Mr. Darcy is deeply offended by Elizabeth 's low rank in society and that of her family 's behaviour , especially Mrs. Bennet and her younger daughters , Darcy still proposes to Elizabeth .",deeply,degree
"Even though Mr. Darcy is deeply offended by Elizabeth 's low rank in society and that of her family 's behaviour , especially Mrs. Bennet and her younger daughters , Darcy still proposes to Elizabeth .",that of her family 's behaviour,event
Turnouts in Guardian elections were extremely low ( perhaps 10-15% of registered electors ) and Guardians who offended influential ratepayers were easily ousted .,who,agent
Turnouts in Guardian elections were extremely low ( perhaps 10-15% of registered electors ) and Guardians who offended influential ratepayers were easily ousted .,influential ratepayers,experiencer
"He unnerves and often offends colleagues on the Legislative Council , many of whom believe their institution is safer in the hands of appointees and amateurs than of populists .",He,agent
"He unnerves and often offends colleagues on the Legislative Council , many of whom believe their institution is safer in the hands of appointees and amateurs than of populists .","colleagues on the Legislative Council , many of whom believe their institution is safer in the hands of appointees and amateurs than of populists",experiencer
"Lear is offended by Oswald 's negligence ( I.iv.47ff. ) , and his new servant ( Kent , returned in disguise ) shows his loyalty by tripping up this ` clotpoll "" .",Lear,experiencer
"Lear is offended by Oswald 's negligence ( I.iv.47ff. ) , and his new servant ( Kent , returned in disguise ) shows his loyalty by tripping up this ` clotpoll "" .",by Oswald 's negligence,event
But the I offended the schoolmaster very much not sitting this exam because erm his record depended upon how many pupils he could get to pass this exam .,I,agent
But the I offended the schoolmaster very much not sitting this exam because erm his record depended upon how many pupils he could get to pass this exam .,the schoolmaster,experiencer
But the I offended the schoolmaster very much not sitting this exam because erm his record depended upon how many pupils he could get to pass this exam .,very much,degree
The speech gravely offended Stalin .,The speech,event
The speech gravely offended Stalin .,gravely,degree
The speech gravely offended Stalin .,Stalin,experiencer
"If , on the other hand , she is offended by the attitude of the shop assistants , she wo n't come back again .",she,experiencer
"If , on the other hand , she is offended by the attitude of the shop assistants , she wo n't come back again .",by the attitude of the shop assistants,event
But I have to admit that in the past I have been offended by people saying that it 's just formula for me to play melodies and structures that come to me very naturally .,I,experiencer
But I have to admit that in the past I have been offended by people saying that it 's just formula for me to play melodies and structures that come to me very naturally .,by people saying that it 's just formula for me to play melodies and structures that come to me very naturally,event
They are offended by his tentative steps towards recognising a role for the Pope even outside the Church of England .,They,experiencer
They are offended by his tentative steps towards recognising a role for the Pope even outside the Church of England .,by his tentative steps towards recognising a role for the Pope even outside the Church of England,event
Ingmar was truly offended by Digby 's stupidity .,Ingmar,experiencer
Ingmar was truly offended by Digby 's stupidity .,truly,degree
Ingmar was truly offended by Digby 's stupidity .,by Digby 's stupidity,event
"` I understand your feelings , Li Yuan , "" Tsu Ma answered him , smiling at the old T'ang to show he was not offended by his son 's interruption .",he,experiencer
"` I understand your feelings , Li Yuan , "" Tsu Ma answered him , smiling at the old T'ang to show he was not offended by his son 's interruption .",by his son 's interruption,event
The women though were more offended at the attitude of the Council .,at the attitude of the Council,event
The women though were more offended at the attitude of the Council .,The women,experiencer
The women though were more offended at the attitude of the Council .,more,degree
He felt very sorry he had offended her so much by telling her he had seen her when she thought she was alone .,he,agent
He felt very sorry he had offended her so much by telling her he had seen her when she thought she was alone .,her,experiencer
He felt very sorry he had offended her so much by telling her he had seen her when she thought she was alone .,so much,degree
He felt very sorry he had offended her so much by telling her he had seen her when she thought she was alone .,by telling her he had seen her when she thought she was alone,event
Clearly the Government decided to tread carefully so as not to offend the judiciary by appearing to interfere directly with their discretionary powers to sentence as they think appropriate .,the Government,agent
Clearly the Government decided to tread carefully so as not to offend the judiciary by appearing to interfere directly with their discretionary powers to sentence as they think appropriate .,the judiciary,experiencer
Clearly the Government decided to tread carefully so as not to offend the judiciary by appearing to interfere directly with their discretionary powers to sentence as they think appropriate .,by appearing to interfere directly with their discretionary powers to sentence as they think appropriate,event
He was n't just mortally offended .,He,experiencer
He was n't just mortally offended .,mortally,degree
"Then , very stiffly , ` I am afraid I offended you . """,I,agent
"Then , very stiffly , ` I am afraid I offended you . """,you,experiencer
"However , I do not want to offend my local church organist by asking her to step down .",I,agent
"However , I do not want to offend my local church organist by asking her to step down .",my local church organist,experiencer
"However , I do not want to offend my local church organist by asking her to step down .",by asking her to step down,event
"` I am so sorry if I 've offended you . """,I,agent
"` I am so sorry if I 've offended you . """,you,experiencer
I was so offended I asked him to leave me alone .,I,experiencer
I was so offended I asked him to leave me alone .,I asked him to leave me alone,degree
You will perhaps be affronted by my frankness Ellen but I am distressed and if you were to think on it you would understand .,You,experiencer
You will perhaps be affronted by my frankness Ellen but I am distressed and if you were to think on it you would understand .,by my frankness,event
"You were here yesterday ? "" said Fieldfare , mildly affronted by this discovery .",Fieldfare,experiencer
"You were here yesterday ? "" said Fieldfare , mildly affronted by this discovery .",mildly,degree
"You were here yesterday ? "" said Fieldfare , mildly affronted by this discovery .",by this discovery,event
"` Why do you look at me like that ? "" said Snyde , affronted by her naturalness .",Snyde,experiencer
"` Why do you look at me like that ? "" said Snyde , affronted by her naturalness .",by her naturalness,event
Many Koreans were affronted at the liberation of August 1945 being followed by the continued presence of Japanese and of the odious methods they had employed to suppress dissent .,Many Koreans,experiencer
Many Koreans were affronted at the liberation of August 1945 being followed by the continued presence of Japanese and of the odious methods they had employed to suppress dissent .,at the liberation of August 1945 being followed by the continued presence of Japanese and of the odious methods they had employed to suppress dissent,event
He was affronted at the suggestion .,He,experiencer
He was affronted at the suggestion .,at the suggestion,event
And not just because he 's affronted at the idea of a dragon beating him over 100 metres .,he,experiencer
And not just because he 's affronted at the idea of a dragon beating him over 100 metres .,at the idea of a dragon beating him over 100 metres,event
"The hiring firm were very affronted when rung up , and assured the film company that they only ever supplied blanks .",The hiring firm,experiencer
"The hiring firm were very affronted when rung up , and assured the film company that they only ever supplied blanks .",very,degree
"The hiring firm were very affronted when rung up , and assured the film company that they only ever supplied blanks .",when rung up,event
"He was affronted , I saw , by the treachery of one of his own kind .",He,experiencer
"He was affronted , I saw , by the treachery of one of his own kind .",by the treachery of one of his own kind,event
"If you affront him , I 'll kill you .",you,agent
"If you affront him , I 'll kill you .",him,experiencer
"The caprice and incompetence of the bureaucracy , the arbitrary administration of justice , the seemingly ubiquitous police could not fail to affront at least some among an élite increasingly conscious of their own dignity .",the seemingly ubiquitous police,agent
"The caprice and incompetence of the bureaucracy , the arbitrary administration of justice , the seemingly ubiquitous police could not fail to affront at least some among an élite increasingly conscious of their own dignity .",at least some among an élite increasingly conscious of their own dignity,experiencer
"` They do n't insult you with weak dialogue or a stupid plot . """,They,agent
"` They do n't insult you with weak dialogue or a stupid plot . """,you,experiencer
"` They do n't insult you with weak dialogue or a stupid plot . """,with weak dialogue or a stupid plot,instrument
Windsor whitewash insults all taxpayers,Windsor whitewash,agent
Windsor whitewash insults all taxpayers,all taxpayers,experiencer
He has insulted me !,He,agent
He has insulted me !,me,experiencer
She had been rejected by co-op boards and insulted by fashion arbiters .,She,agent
She had been rejected by co-op boards and insulted by fashion arbiters .,by fashion arbiters,experiencer
How often we confine faith and insult God by entertaining puny conceptions of him !,How often,frequency
How often we confine faith and insult God by entertaining puny conceptions of him !,we,agent
How often we confine faith and insult God by entertaining puny conceptions of him !,God,experiencer
How often we confine faith and insult God by entertaining puny conceptions of him !,by entertaining puny conceptions of him,event
"Manager Intikhab earned a severe reprimand for to journalists that his players had been ` insulted "" by umpire Palmer 's handling of the sweater .",by umpire Palmer 's handling of the sweater,event
"Manager Intikhab earned a severe reprimand for to journalists that his players had been ` insulted "" by umpire Palmer 's handling of the sweater .",his players,agent
